Category: All categories

Month,Calorie: (Worldwide)
2010-02,67
2010-03,66
2010-04,67
2010-05,65
2010-06,62
2010-07,67
2010-08,65
2010-09,62
2010-10,59
2010-11,57
2010-12,47
2011-01,79
2011-02,73
2011-03,73
2011-04,74
2011-05,74
2011-06,72
2011-07,71
2011-08,68
2011-09,65
2011-10,62
2011-11,60
2011-12,49
2012-01,85
2012-02,79
2012-03,79
2012-04,77
2012-05,79
2012-06,76
2012-07,79
2012-08,79
2012-09,75
2012-10,67
2012-11,64
2012-12,52
2013-01,89
2013-02,84
2013-03,83
2013-04,87
2013-05,82
2013-06,81
2013-07,84
2013-08,78
2013-09,76
2013-10,71
2013-11,66
2013-12,54
2014-01,90
2014-02,86
2014-03,86
2014-04,85
2014-05,83
2014-06,78
2014-07,79
2014-08,76
2014-09,73
2014-10,69
2014-11,64
2014-12,56
2015-01,89
2015-02,84
2015-03,84
2015-04,88
2015-05,87
2015-06,82
2015-07,84
2015-08,80
2015-09,75
2015-10,70
2015-11,69
2015-12,61
2016-01,89
2016-02,87
2016-03,87
2016-04,88
2016-05,86
2016-06,86
2016-07,82
2016-08,78
2016-09,75
2016-10,72
2016-11,67
2016-12,59
2017-01,93
2017-02,90
2017-03,93
2017-04,89
2017-05,90
2017-06,87
2017-07,90
2017-08,88
2017-09,79
2017-10,78
2017-11,74
2017-12,64
2018-01,97
2018-02,94
2018-03,92
2018-04,97
2018-05,93
2018-06,89
2018-07,93
2018-08,90
2018-09,82
2018-10,80
2018-11,76
2018-12,66
2019-01,100
2019-02,98
